run_id,trade_index,source,ticket,module,type,open,close,lots,openPrice,closePrice,pl,equity,return_pct,peak_return_pct,dyn_peak_pct,campaign_score,checkpoint_hit,state
6187479b7ff1,1,all_closed,1,MOMENTUM,BUY,2020.07.01 11:00,2020.07.01 13:32,1.58,1787.96,1781.96,-698.15,69301.85,-1.00,0.14,0.14,4,false,ACTIVE_CHALLENGE
6187479b7ff1,2,all_closed,2,PULLBACK,BUY,2020.07.03 19:00,2020.07.06 05:05,2.31,1775.21,1771.13,-855.67,68446.18,-2.22,0.14,0.14,0,false,ACTIVE_CHALLENGE
6187479b7ff1,3,all_closed,3,MOMENTUM,BUY,2020.07.06 16:00,2020.07.07 11:30,0.33,1783.36,1776.44,-190.97,68255.21,-2.49,0.14,0.14,1,false,ACTIVE_CHALLENGE
6187479b7ff1,4,all_closed,4,PULLBACK,BUY,2020.07.07 19:00,2020.07.08 16:15,0.33,1795.33,1809.09,309.52,68564.73,-2.05,0.14,0.14,4,false,ACTIVE_CHALLENGE
6187479b7ff1,5,all_closed,5,PULLBACK,BUY,2020.07.08 17:00,2020.07.09 18:03,1.50,1810.53,1804.32,-998.11,67566.61,-3.48,0.14,0.14,2,false,ACTIVE_CHALLENGE
d0fbad63c109,1,all_closed,1,PULLBACK,SELL,2020.10.27 12:00,2020.10.27 14:59,2.04,1901.04,1905.70,-701.17,69298.83,-1.00,0.54,0.54,3,false,ACTIVE_CHALLENGE
d0fbad63c109,2,all_closed,2,MOMENTUM,SELL,2020.10.28 16:00,2020.10.30 14:49,0.93,1876.27,1886.34,-703.28,68595.55,-2.01,0.56,0.56,0,false,ACTIVE_CHALLENGE
d0fbad63c109,3,all_closed,3,PULLBACK,BUY,2020.11.06 12:00,2020.11.09 13:59,1.07,1948.46,1939.74,-760.65,67834.90,-3.09,0.56,0.56,5,false,ACTIVE_CHALLENGE
d0fbad63c109,4,all_closed,4,MOMENTUM,SELL,2020.11.19 11:00,2020.11.19 21:09,1.03,1857.16,1866.06,-674.26,67160.64,-4.06,0.56,0.56,4,false,ACTIVE_CHALLENGE
37fef594de9f,1,all_closed,1,PULLBACK,BUY,2021.01.04 10:00,2021.01.05 01:18,0.94,1925.00,1945.17,1323.42,71323.42,1.89,1.91,1.91,3,false,ACTIVE_CHALLENGE
37fef594de9f,2,all_closed,2,PULLBACK,BUY,2021.01.05 14:00,2021.01.05 16:36,1.36,1950.00,1942.89,-711.88,70611.54,0.87,2.25,2.25,4,false,ACTIVE_CHALLENGE
37fef594de9f,3,all_closed,3,PULLBACK,BUY,2021.01.05 19:00,2021.01.06 14:43,0.25,1950.82,1941.39,-190.74,70420.80,0.60,2.25,2.25,3,false,ACTIVE_CHALLENGE
37fef594de9f,4,all_closed,4,PULLBACK,SELL,2021.01.18 12:00,2021.01.19 03:16,0.90,1831.72,1842.34,-706.21,69714.59,-0.41,2.25,2.25,1,false,ACTIVE_CHALLENGE
37fef594de9f,5,all_closed,5,MOMENTUM,SELL,2021.01.27 14:00,2021.01.27 18:04,1.14,1841.37,1849.70,-698.60,69015.99,-1.41,2.25,2.25,4,false,ACTIVE_CHALLENGE
37fef594de9f,6,all_closed,6,MOMENTUM,SELL,2021.02.04 12:00,2021.02.04 16:10,0.98,1814.44,1797.21,1236.53,70252.52,0.36,2.25,2.25,5,false,ACTIVE_CHALLENGE
37fef594de9f,7,all_closed,7,MOMENTUM,SELL,2021.02.04 16:15,2021.02.05 10:12,0.78,1795.07,1807.26,-701.83,69550.68,-0.64,2.25,2.25,4,false,ACTIVE_CHALLENGE
37fef594de9f,8,all_closed,8,MOMENTUM,SELL,2021.02.12 10:00,2021.02.12 17:50,1.27,1817.37,1824.83,-697.20,68853.48,-1.64,2.25,2.25,5,false,ACTIVE_CHALLENGE
6329579dc307,1,all_closed,1,PULLBACK,BUY,2021.04.16 20:00,2021.04.19 16:14,1.23,1780.12,1772.39,-784.88,69215.12,-1.12,1.15,1.15,4,false,ACTIVE_CHALLENGE
6329579dc307,2,all_closed,2,PULLBACK,BUY,2021.04.21 19:00,2021.04.22 13:58,1.09,1793.09,1784.44,-920.34,68294.79,-2.44,1.15,1.15,4,false,ACTIVE_CHALLENGE
6329579dc307,3,all_closed,3,MOMENTUM,BUY,2021.05.03 17:00,2021.05.04 12:37,1.08,1792.36,1783.76,-758.08,67536.70,-3.52,1.15,1.15,3,false,ACTIVE_CHALLENGE
6329579dc307,4,all_closed,4,MOMENTUM,BUY,2021.05.17 18:00,2021.05.19 13:20,0.94,1864.76,1855.06,-800.93,66735.78,-4.66,1.15,1.15,2,false,ACTIVE_CHALLENGE
2d34047e3699,1,all_closed,1,PULLBACK,SELL,2021.07.22 14:00,2021.07.22 15:31,2.16,1795.03,1799.43,-700.99,69299.01,-1.00,0.18,0.18,4,false,ACTIVE_CHALLENGE
2d34047e3699,2,all_closed,2,PULLBACK,SELL,2021.07.23 18:00,2021.07.26 04:58,1.09,1798.33,1806.93,-693.79,68605.22,-1.99,0.18,0.18,4,false,ACTIVE_CHALLENGE
2d34047e3699,3,all_closed,3,MOMENTUM,BUY,2021.08.04 16:00,2021.08.04 17:09,1.48,1827.30,1820.98,-688.76,67916.46,-2.98,0.18,0.18,5,false,ACTIVE_CHALLENGE
2d34047e3699,4,all_closed,4,MOMENTUM,SELL,2021.08.06 14:00,2021.08.06 14:47,2.17,1795.06,1799.32,-681.96,67234.50,-3.95,0.18,0.18,5,false,ACTIVE_CHALLENGE
272e3f588e82,1,all_closed,1,PULLBACK,BUY,2021.10.20 20:00,2021.10.21 14:27,1.41,1786.86,1780.12,-993.00,69007.00,-1.42,0.09,0.09,3,false,ACTIVE_CHALLENGE
272e3f588e82,2,all_closed,2,MOMENTUM,BUY,2021.10.22 10:00,2021.10.22 15:42,1.65,1793.27,1803.48,1232.47,70239.47,0.34,0.34,0.34,4,false,ACTIVE_CHALLENGE
272e3f588e82,3,all_closed,3,MOMENTUM,BUY,2021.10.22 16:00,2021.10.22 18:30,1.23,1805.94,1798.17,-703.19,69536.28,-0.66,1.35,1.35,5,false,ACTIVE_CHALLENGE
272e3f588e82,4,all_closed,4,MOMENTUM,BUY,2021.11.05 18:00,2021.11.09 15:32,0.89,1810.08,1829.06,1113.73,70650.00,0.93,1.35,1.35,3,false,ACTIVE_CHALLENGE
272e3f588e82,5,all_closed,5,MOMENTUM,SELL,2021.12.02 20:00,2021.12.03 05:27,0.87,1763.40,1774.42,-708.14,69941.87,-0.08,1.35,1.35,3,false,ACTIVE_CHALLENGE
272e3f588e82,6,all_closed,6,MOMENTUM,BUY,2021.12.28 13:00,2021.12.28 16:07,2.22,1818.05,1813.76,-702.61,69239.26,-1.09,1.35,1.35,4,false,ACTIVE_CHALLENGE
d57c2c163e9f,1,all_closed,1,PULLBACK,BUY,2022.01.03 12:00,2022.01.03 15:02,1.85,1826.48,1821.33,-702.21,69297.79,-1.00,0.18,0.18,3,false,ACTIVE_CHALLENGE
d57c2c163e9f,2,all_closed,2,MOMENTUM,BUY,2022.01.05 16:00,2022.01.05 21:05,1.37,1825.69,1818.82,-692.83,68604.96,-1.99,0.18,0.18,5,false,ACTIVE_CHALLENGE
d57c2c163e9f,3,all_closed,3,MOMENTUM,BUY,2022.01.12 20:00,2022.01.13 11:12,1.31,1826.25,1819.13,-959.14,67645.82,-3.36,0.18,0.18,3,false,ACTIVE_CHALLENGE
d57c2c163e9f,4,all_closed,4,PULLBACK,BUY,2022.01.19 17:00,2022.01.19 17:45,1.76,1827.27,1837.70,1342.97,68988.79,-1.44,0.18,0.18,4,false,ACTIVE_CHALLENGE
d57c2c163e9f,5,all_closed,5,PULLBACK,BUY,2022.01.20 18:00,2022.01.20 18:22,1.67,1846.98,1841.37,-690.26,68298.53,-2.43,0.18,0.18,4,false,ACTIVE_CHALLENGE
d57c2c163e9f,6,all_closed,6,PULLBACK,BUY,2022.01.21 16:00,2022.01.21 17:12,1.53,1841.52,1835.44,-685.12,67613.41,-3.41,0.18,0.18,3,false,ACTIVE_CHALLENGE
a176a2de3df2,1,all_closed,1,PULLBACK,BUY,2022.04.14 11:00,2022.04.14 12:04,1.57,1975.73,1969.68,-699.79,69300.21,-1.00,0.05,0.05,3,false,ACTIVE_CHALLENGE
a176a2de3df2,2,all_closed,2,PULLBACK,BUY,2022.04.18 15:00,2022.04.18 17:40,1.23,1992.11,1984.47,-691.70,68608.51,-1.99,0.05,0.05,4,false,ACTIVE_CHALLENGE
a176a2de3df2,3,all_closed,3,MOMENTUM,SELL,2022.05.02 12:00,2022.05.02 15:56,0.90,1879.85,1861.18,1230.58,69839.09,-0.23,0.05,0.05,5,false,ACTIVE_CHALLENGE
a176a2de3df2,4,all_closed,4,MOMENTUM,SELL,2022.05.02 16:00,2022.05.03 17:19,0.82,1861.64,1873.22,-701.20,69137.89,-1.23,0.72,0.72,2,false,ACTIVE_CHALLENGE
a176a2de3df2,5,all_closed,5,MOMENTUM,SELL,2022.05.09 12:00,2022.05.10 17:46,1.13,1865.61,1850.62,1235.66,70373.54,0.53,0.72,0.72,4,false,ACTIVE_CHALLENGE
a176a2de3df2,6,all_closed,6,MOMENTUM,SELL,2022.05.12 19:00,2022.05.13 01:32,0.72,1835.68,1811.72,1260.99,71634.53,2.34,2.34,2.34,5,false,ACTIVE_CHALLENGE
