date,event,event_utc,pos_pct_52w,bucket,bar0_range_atr,bar0_dir,combined_range_atr,combined_dir,combined_signed_atr
2023-05-03,FOMC,2023-05-03T18:00:00,100.0,CROWDED_LONG,2.013,1,2.013,1,0.767
2023-05-05,NFP,2023-05-05T12:30:00,100.0,CROWDED_LONG,1.773,1,2.059,1,0.269
2023-05-10,CPI,2023-05-10T12:30:00,100.0,CROWDED_LONG,2.609,1,2.609,1,1.336
2023-06-02,NFP,2023-06-02T12:30:00,86.5,CROWDED_LONG,1.709,-1,2.089,-1,-1.587
2023-06-13,CPI,2023-06-13T12:30:00,78.8,NEUTRAL,2.084,-1,2.084,-1,-0.113
2023-06-14,FOMC,2023-06-14T18:00:00,61.5,NEUTRAL,2.612,-1,2.612,-1,-0.625
2023-07-07,NFP,2023-07-07T12:30:00,67.3,NEUTRAL,3.159,1,3.505,1,2.803
2023-07-12,CPI,2023-07-12T12:30:00,59.6,NEUTRAL,4.161,1,4.726,1,4.6
2023-07-26,FOMC,2023-07-26T18:00:00,98.1,CROWDED_LONG,1.997,1,1.997,1,0.046
2023-08-04,NFP,2023-08-04T12:30:00,94.2,CROWDED_LONG,3.525,1,3.525,1,2.304
2023-08-10,CPI,2023-08-10T12:30:00,61.5,NEUTRAL,2.301,-1,3.564,-1,-1.505
2023-09-01,NFP,2023-09-01T12:30:00,51.9,NEUTRAL,2.913,-1,3.345,-1,-1.777
2023-09-13,CPI,2023-09-13T12:30:00,13.5,CROWDED_SHORT,2.089,-1,2.089,-1,-0.193
2023-09-20,FOMC,2023-09-20T18:00:00,11.5,CROWDED_SHORT,3.536,-1,3.991,-1,-2.883
2023-10-06,NFP,2023-10-06T12:30:00,7.7,CROWDED_SHORT,3.956,1,3.956,1,0.795
2023-10-12,CPI,2023-10-12T12:30:00,3.8,CROWDED_SHORT,2.96,-1,3.622,-1,-3.153
2023-11-01,FOMC,2023-11-01T18:00:00,9.6,CROWDED_SHORT,1.714,1,2.231,1,1.579
2023-11-03,NFP,2023-11-03T12:30:00,9.6,CROWDED_SHORT,2.617,1,2.948,1,2.265
2023-11-14,CPI,2023-11-14T13:30:00,11.5,CROWDED_SHORT,5.172,1,6.698,1,6.144
2023-12-01,NFP,2023-12-01T13:30:00,57.7,NEUTRAL,2.129,-1,2.253,-1,-0.791
2023-12-12,CPI,2023-12-12T13:30:00,65.4,NEUTRAL,2.459,-1,2.459,-1,-0.246
2023-12-13,FOMC,2023-12-13T19:00:00,36.5,NEUTRAL,4.392,1,4.589,1,3.463
2024-01-05,NFP,2024-01-05T13:30:00,23.1,NEUTRAL,3.873,1,3.873,1,0.987
2024-01-11,CPI,2024-01-11T13:30:00,26.9,NEUTRAL,2.831,-1,2.831,1,0.136
2024-01-31,FOMC,2024-01-31T19:00:00,11.5,CROWDED_SHORT,2.15,-1,3.02,-1,-2.37
2024-02-02,NFP,2024-02-02T13:30:00,11.5,CROWDED_SHORT,3.235,-1,3.32,-1,-2.87
2024-02-13,CPI,2024-02-13T13:30:00,1.9,CROWDED_SHORT,4.524,-1,4.531,-1,-3.511
2024-03-01,NFP,2024-03-01T13:30:00,5.8,CROWDED_SHORT,2.121,1,2.201,1,1.097
2024-03-12,CPI,2024-03-12T12:30:00,7.7,CROWDED_SHORT,2.015,-1,2.015,-1,-0.371
2024-03-20,FOMC,2024-03-20T18:00:00,3.8,CROWDED_SHORT,4.066,1,4.937,1,4.863
2024-04-05,NFP,2024-04-05T12:30:00,1.9,CROWDED_SHORT,2.61,1,2.61,1,0.016
2024-04-10,CPI,2024-04-10T12:30:00,5.8,CROWDED_SHORT,5.836,-1,6.04,-1,-4.963
2024-05-01,FOMC,2024-05-01T18:00:00,3.8,CROWDED_SHORT,2.837,1,2.837,1,1.745
2024-05-03,NFP,2024-05-03T12:30:00,3.8,CROWDED_SHORT,2.732,1,2.732,1,0.736
2024-05-15,CPI,2024-05-15T12:30:00,11.5,CROWDED_SHORT,2.832,1,3.354,1,3.198
2024-06-07,NFP,2024-06-07T12:30:00,32.7,NEUTRAL,4.696,-1,4.892,-1,-4.699
2024-06-12,FOMC,2024-06-12T18:00:00,17.3,CROWDED_SHORT,1.923,-1,1.923,-1,-1.292
2024-06-12,CPI,2024-06-12T12:30:00,17.3,CROWDED_SHORT,3.501,1,3.501,1,1.639
2024-07-05,NFP,2024-07-05T12:30:00,3.8,CROWDED_SHORT,2.433,1,2.448,1,1.293
2024-07-11,CPI,2024-07-11T12:30:00,9.6,CROWDED_SHORT,3.776,1,3.776,1,0.68
