date,event,event_utc,pos_pct_52w,bucket,bar0_range_atr,bar0_dir,combined_range_atr,combined_dir,combined_signed_atr
2023-04-12,CPI,2023-04-12T12:30:00,67.3,NEUTRAL,2.383,-1,2.383,-1,-1.104
2023-05-03,FOMC,2023-05-03T18:00:00,75.0,NEUTRAL,1.917,-1,2.897,-1,-1.675
2023-05-05,NFP,2023-05-05T12:30:00,75.0,NEUTRAL,1.637,1,1.637,1,1.05
2023-05-10,CPI,2023-05-10T12:30:00,63.5,NEUTRAL,2.88,-1,3.299,-1,-2.439
2023-06-02,NFP,2023-06-02T12:30:00,96.2,CROWDED_LONG,2.008,1,2.479,1,1.937
2023-06-13,CPI,2023-06-13T12:30:00,98.1,CROWDED_LONG,2.872,1,3.385,1,1.809
2023-06-14,FOMC,2023-06-14T18:00:00,94.2,CROWDED_LONG,2.266,1,2.266,1,1.675
2023-07-07,NFP,2023-07-07T12:30:00,94.2,CROWDED_LONG,3.027,-1,3.073,-1,-2.549
2023-07-12,CPI,2023-07-12T12:30:00,98.1,CROWDED_LONG,2.613,-1,2.613,-1,-1.87
2023-07-26,FOMC,2023-07-26T18:00:00,69.2,NEUTRAL,1.81,-1,1.81,-1,-0.106
2023-08-04,NFP,2023-08-04T12:30:00,67.3,NEUTRAL,2.508,-1,2.508,-1,-1.629
2023-08-10,CPI,2023-08-10T12:30:00,75.0,NEUTRAL,3.076,1,3.866,1,2.584
2023-09-01,NFP,2023-09-01T12:30:00,84.6,CROWDED_LONG,3.391,1,3.525,1,1.826
2023-09-13,CPI,2023-09-13T12:30:00,71.2,NEUTRAL,1.251,1,1.366,1,0.131
2023-09-20,FOMC,2023-09-20T18:00:00,75.0,NEUTRAL,3.236,1,3.908,1,2.577
2023-10-06,NFP,2023-10-06T12:30:00,84.6,CROWDED_LONG,1.109,1,1.109,1,0.548
2023-10-12,CPI,2023-10-12T12:30:00,71.2,NEUTRAL,2.135,1,2.228,1,1.872
2023-11-01,FOMC,2023-11-01T18:00:00,63.5,NEUTRAL,1.247,-1,1.45,-1,-0.84
2023-11-03,NFP,2023-11-03T12:30:00,63.5,NEUTRAL,2.318,-1,2.318,-1,-1.594
